state,year,monthno,pop,drug_all,drug_synthetic,drug_other,drug_opium_coke,state_fips
colorado,2022,12,4917808.000000001,591,96,357,138,8
colorado,2023,1,4940634,709,128,428,153,8
colorado,2023,2,4940634,638,95,408,135,8
colorado,2023,3,4940634,724,111,442,171,8
colorado,2023,4,4940634,704,118,444,142,8
colorado,2023,5,4940634,749,151,437,161,8
colorado,2023,6,4940634,724,151,417,156,8
colorado,2023,7,4940634,740,139,433,168,8
colorado,2023,8,4940634,789,183,437,169,8
colorado,2023,9,4940634,730,147,425,158,8
colorado,2023,10,4940634,698,161,390,147,8
colorado,2023,11,4940634,618,103,360,155,8
colorado,2023,12,4940634,524,92,316,116,8
colorado,2024,1,5008566.999999995,669,122,382,165,8
colorado,2024,2,5008566.999999995,713,120,424,169,8
colorado,2024,3,5008566.999999995,728,107,422,199,8
colorado,2024,4,5008566.999999995,736,136,412,188,8
colorado,2024,5,5008566.999999995,698,105,415,178,8
colorado,2024,6,5008566.999999995,721,114,436,171,8
colorado,2024,7,5008566.999999995,826,150,470,206,8
colorado,2024,8,5008566.999999995,838,132,512,194,8
colorado,2024,9,5008566.999999995,735,86,479,170,8
colorado,2024,10,5008566.999999995,674,42,441,191,8
colorado,2024,11,5008566.999999995,623,62,378,183,8
colorado,2024,12,5008566.999999995,651,103,360,188,8
connecticut,2018,1,3175644.9999999986,354,26,54,274,9
connecticut,2018,2,3175644.9999999986,340,23,45,272,9
connecticut,2018,3,3175644.9999999986,351,32,45,274,9
connecticut,2018,4,3175644.9999999986,327,26,52,249,9
connecticut,2018,5,3175644.9999999986,359,18,47,294,9
connecticut,2018,6,3175644.9999999986,363,29,43,291,9
connecticut,2018,7,3175644.9999999986,406,27,62,317,9
connecticut,2018,8,3175644.9999999986,386,24,36,326,9
connecticut,2018,9,3175644.9999999986,321,23,45,253,9
connecticut,2018,10,3175644.9999999986,386,28,48,310,9
connecticut,2018,11,3175644.9999999986,291,24,41,226,9
connecticut,2018,12,3175644.9999999986,241,11,28,202,9
connecticut,2019,1,3169984.0000000014,254,9,35,210,9
connecticut,2019,2,3169984.0000000014,285,18,44,223,9
connecticut,2019,3,3169984.0000000014,367,23,48,296,9
connecticut,2019,4,3169984.0000000014,281,28,52,201,9
connecticut,2019,5,3169984.0000000014,297,24,56,217,9
connecticut,2019,6,3169984.0000000014,313,27,44,242,9
connecticut,2019,7,3169984.0000000014,304,35,46,223,9
connecticut,2019,8,3169984.0000000014,321,16,54,251,9
connecticut,2019,9,3169984.0000000014,317,19,52,246,9
connecticut,2019,10,3169984.0000000014,270,25,32,213,9
connecticut,2019,11,3169984.0000000014,276,17,40,219,9
