"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Ohio"	"39"	"2020"	"2020"	5202	11693217	44.487329706	47.133850476	1.548878091%
	"Ohio"	"39"	"2021 "	"2021"	5392	11780017	45.772429700	48.052113247	1.605449955%
	"Oklahoma"	"40"	"2018"	"2018"	715	3943079	18.133037659	18.352920525	0.212888857%
	"Oklahoma"	"40"	"2019"	"2019"	644	3956971	16.275075051	16.643953290	0.191748845%
	"Oklahoma"	"40"	"2020"	"2020"	762	3980783	19.141962775	19.421692499	0.226882950%
	"Oklahoma"	"40"	"2021 "	"2021"	960	3986639	24.080434672	24.446849757	0.285836787%
	"Oregon"	"41"	"2018"	"2018"	547	4190713	13.052671467	12.573260580	0.162867419%
	"Oregon"	"41"	"2019"	"2019"	615	4217737	14.581279013	13.968354207	0.183114192%
	"Oregon"	"41"	"2020"	"2020"	803	4241507	18.931950366	18.672878764	0.239090563%
	"Oregon"	"41"	"2021 "	"2021"	1171	4246155	27.577891057	26.794928106	0.348661331%
	"Pennsylvania"	"42"	"2018"	"2018"	4388	12807060	34.262352171	35.881447776	1.306512315%
	"Pennsylvania"	"42"	"2019"	"2019"	4354	12801989	34.010340112	35.424849093	1.296388929%
	"Pennsylvania"	"42"	"2020"	"2020"	5103	12783254	39.919413320	41.855735372	1.519401172%
	"Pennsylvania"	"42"	"2021 "	"2021"	5381	12964056	41.507071552	42.678250414	1.602174742%
	"Rhode Island"	"44"	"2018"	"2018"	316	1057315	29.887025153	30.007579138	0.094087942%
	"Rhode Island"	"44"	"2019"	"2019"	306	1059361	28.885337482	29.417795769	0.091110476%
	"Rhode Island"	"44"	"2020"	"2020"	397	1057125	37.554688424	38.162576891	0.118205421%
	"Rhode Island"	"44"	"2021 "	"2021"	454	1095610	41.438102975	41.592595207	0.135176981%
	"South Carolina"	"45"	"2018"	"2018"	1121	5084127	22.049016478	22.555429118	0.333773998%
	"South Carolina"	"45"	"2019"	"2019"	1127	5148714	21.888961011	22.679196907	0.335560478%
	"South Carolina"	"45"	"2020"	"2020"	1738	5218040	33.307525431	34.902554072	0.517483683%
	"South Carolina"	"45"	"2021 "	"2021"	2131	5190705	41.054153530	42.593114950	0.634498118%
	"South Dakota"	"46"	"2018"	"2018"	57	882235	6.460863602	6.876648660	0.016971559%
	"South Dakota"	"46"	"2019"	"2019"	86	884659	9.721259830	10.472038754	0.025606212%
	"South Dakota"	"46"	"2020"	"2020"	82	892717	9.185441747	10.180833531	0.024415226%
	"South Dakota"	"46"	"2021 "	"2021"	105	895376	11.726916960	12.628292050	0.031263399%
	"Tennessee"	"47"	"2018"	"2018"	1822	6770010	26.912811059	27.460676703	0.542494402%
	"Tennessee"	"47"	"2019"	"2019"	2089	6829174	30.589350923	31.178609489	0.621992759%
	"Tennessee"	"47"	"2020"	"2020"	3034	6886834	44.055076687	45.643458918	0.903363346%
	"Tennessee"	"47"	"2021 "	"2021"	3813	6975218	54.664958142	56.601138950	1.135307989%
	"Texas"	"48"	"2018"	"2018"	2999	28701845	10.448805643	10.410102719	0.892942213%
	"Texas"	"48"	"2019"	"2019"	3127	28995881	10.784290362	10.735044660	0.931053785%
	"Texas"	"48"	"2020"	"2020"	4162	29360759	14.175382864	14.084664040	1.239221571%
	"Texas"	"48"	"2021 "	"2021"	4972	29527941	16.838288860	16.728743077	1.480396360%
	"Utah"	"49"	"2018"	"2018"	623	3161105	19.708298206	21.142942388	0.185496165%
	"Utah"	"49"	"2019"	"2019"	571	3205958	17.810588910	18.947137349	0.170013339%
	"Utah"	"49"	"2020"	"2020"	621	3249879	19.108403728	20.489597208	0.184900672%
	"Utah"	"49"	"2021 "	"2021"	662	3337975	19.832383406	21.134419790	0.197108285%
	"Vermont"	"50"	"2018"	"2018"	153	626299	24.429226296	26.646699691	0.045555238%
	"Vermont"	"50"	"2019"	"2019"	131	623989	20.993959829	23.338421363	0.039004812%
