"Notes"	"Occurrence State"	"Occurrence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Arkansas"	"05"	"Dec., 2021"	"2021/12"	52	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2022 (provisional)"	"2022/01"	47	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2022 (provisional)"	"2022/02"	44	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2022 (provisional)"	"2022/03"	60	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2022 (provisional)"	"2022/04"	34	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2022 (provisional)"	"2022/05"	50	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2022 (provisional)"	"2022/06"	38	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2022 (provisional)"	"2022/07"	47	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2022 (provisional)"	"2022/08"	43	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2022 (provisional)"	"2022/09"	30	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2022 (provisional)"	"2022/10"	51	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2022 (provisional)"	"2022/11"	45	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2022 (provisional)"	"2022/12"	35	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2023 (provisional)"	"2023/01"	29	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2023 (provisional)"	"2023/02"	42	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2023 (provisional)"	"2023/03"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2023 (provisional)"	"2023/04"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2023 (provisional)"	"2023/05"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2023 (provisional)"	"2023/06"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2023 (provisional)"	"2023/07"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2023 (provisional)"	"2023/08"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2023 (provisional and partial)"	"2023/09"	0	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2018"	"2018/01"	429	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2018"	"2018/02"	374	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2018"	"2018/03"	405	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2018"	"2018/04"	380	Not Applicable	Not Applicable
	"California"	"06"	"May, 2018"	"2018/05"	363	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2018"	"2018/06"	414	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2018"	"2018/07"	421	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2018"	"2018/08"	435	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2018"	"2018/09"	426	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2018"	"2018/10"	401	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2018"	"2018/11"	353	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2018"	"2018/12"	420	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2019"	"2019/01"	449	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2019"	"2019/02"	416	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2019"	"2019/03"	453	Not Applicable	Not Applicable
