"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Arizona"	"04"	"Apr., 2021"	"2021/04"	188	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2021"	"2021/05"	247	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2021"	"2021/06"	239	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2021"	"2021/07"	262	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2021"	"2021/08"	250	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2021"	"2021/09"	204	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2021"	"2021/10"	198	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2021"	"2021/11"	169	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2021"	"2021/12"	197	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2022 (provisional)"	"2022/01"	175	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2022 (provisional)"	"2022/02"	158	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2022 (provisional)"	"2022/03"	191	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2022 (provisional)"	"2022/04"	179	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2022 (provisional)"	"2022/05"	180	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2022 (provisional)"	"2022/06"	224	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2022 (provisional)"	"2022/07"	324	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2022 (provisional)"	"2022/08"	214	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2022 (provisional)"	"2022/09"	197	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2022 (provisional)"	"2022/10"	196	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2022 (provisional)"	"2022/11"	182	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2022 (provisional)"	"2022/12"	194	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2023 (provisional)"	"2023/01"	194	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2023 (provisional)"	"2023/02"	174	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2023 (provisional)"	"2023/03"	118	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2023 (provisional)"	"2023/04"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2023 (provisional)"	"2023/05"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2023 (provisional)"	"2023/06"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2023 (provisional)"	"2023/07"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2023 (provisional)"	"2023/08"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2023 (provisional and partial)"	"2023/09"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2018"	"2018/01"	31	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2018"	"2018/02"	15	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2018"	"2018/03"	30	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2018"	"2018/04"	25	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2018"	"2018/05"	43	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2018"	"2018/06"	35	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2018"	"2018/07"	34	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2018"	"2018/08"	38	Not Applicable	Not Applicable
