ST,Year,half,fentanyl_and_related_substances_seizure_count,carfentanil_seizure_count
LA,2018,1,248,2
LA,2018,2,207,0
LA,2019,1,207,0
LA,2019,2,331,3
LA,2020,1,508,1
LA,2020,2,961,0
LA,2021,1,1493,0
LA,2021,2,1433,4
LA,2022,1,1990,4
LA,2022,2,1753,0
MA,1998,1,0,0
MA,1998,2,0,0
MA,1999,1,0,0
MA,1999,2,0,0
MA,2000,1,0,0
MA,2000,2,0,0
MA,2001,1,0,0
MA,2001,2,6,0
MA,2002,1,4,0
MA,2002,2,5,0
MA,2003,1,19,0
MA,2003,2,5,0
MA,2004,1,10,0
MA,2004,2,15,0
MA,2005,1,8,0
MA,2005,2,14,0
MA,2006,1,9,0
MA,2006,2,56,0
MA,2007,1,15,0
MA,2007,2,9,0
MA,2008,1,7,0
MA,2008,2,6,0
MA,2009,1,10,0
MA,2009,2,12,0
MA,2010,1,4,0
MA,2010,2,18,0
MA,2011,1,12,0
MA,2011,2,5,0
MA,2012,1,15,0
MA,2012,2,6,0
MA,2013,1,8,0
MA,2013,2,27,0
MA,2014,1,502,0
MA,2014,2,486,0
MA,2015,1,1443,0
MA,2015,2,1705,0
MA,2016,1,3463,0
MA,2016,2,3567,0
MA,2017,1,3805,17
MA,2017,2,3762,26
MA,2018,1,4883,3
MA,2018,2,5307,2
MA,2019,1,6953,7
MA,2019,2,5333,6
MA,2020,1,2646,0
MA,2020,2,3955,3
MA,2021,1,5159,1
MA,2021,2,3646,0
MA,2022,1,4004,0
MA,2022,2,3278,0
MD,1998,1,0,0
MD,1998,2,0,0
MD,1999,1,0,0
MD,1999,2,0,0
MD,2000,1,0,0
MD,2000,2,0,0
MD,2001,1,0,0
MD,2001,2,0,0
MD,2002,1,1,0
MD,2002,2,2,0
MD,2003,1,1,0
MD,2003,2,0,0
MD,2004,1,0,0
MD,2004,2,0,0
MD,2005,1,1,0
MD,2005,2,1,0
MD,2006,1,10,0
MD,2006,2,40,0
MD,2007,1,4,0
MD,2007,2,9,0
MD,2008,1,1,0
MD,2008,2,4,0
MD,2009,1,0,0
MD,2009,2,0,0
MD,2010,1,2,0
MD,2010,2,11,0
MD,2011,1,4,0
MD,2011,2,6,0
MD,2012,1,8,0
MD,2012,2,7,0
MD,2013,1,12,0
MD,2013,2,48,0
MD,2014,1,238,0
MD,2014,2,94,0
MD,2015,1,170,0
MD,2015,2,453,0
MD,2016,1,780,0
MD,2016,2,965,0
MD,2017,1,2070,38
MD,2017,2,2255,19
MD,2018,1,2936,2
MD,2018,2,3255,3
MD,2019,1,4112,0
MD,2019,2,3397,0
MD,2020,1,2834,0
MD,2020,2,2799,0
MD,2021,1,2437,0
MD,2021,2,2031,0
MD,2022,1,1988,0
MD,2022,2,1574,0
ME,1998,1,0,0
ME,1998,2,0,0
ME,1999,1,0,0
ME,1999,2,0,0
ME,2000,1,0,0
ME,2000,2,0,0
ME,2001,1,0,0
ME,2001,2,0,0
ME,2002,1,0,0
ME,2002,2,3,0
ME,2003,1,1,0
ME,2003,2,0,0
ME,2004,1,1,0
ME,2004,2,2,0
ME,2005,1,0,0
ME,2005,2,0,0
ME,2006,1,0,0
ME,2006,2,2,0
ME,2007,1,0,0
ME,2007,2,0,0
ME,2008,1,0,0
ME,2008,2,0,0
ME,2009,1,0,0
ME,2009,2,1,0
ME,2010,1,0,0
ME,2010,2,1,0
ME,2011,1,1,0
ME,2011,2,0,0
ME,2012,1,0,0
ME,2012,2,1,0
ME,2013,1,1,0
ME,2013,2,2,0
ME,2014,1,8,0
ME,2014,2,29,0
ME,2015,1,55,0
ME,2015,2,94,0
ME,2016,1,154,0
ME,2016,2,119,0
ME,2017,1,125,0
ME,2017,2,177,0
ME,2018,1,235,0
ME,2018,2,208,0
ME,2019,1,237,0
ME,2019,2,237,0
ME,2020,1,259,0
ME,2020,2,346,0
ME,2021,1,355,0
ME,2021,2,378,0
ME,2022,1,223,0
ME,2022,2,89,0
MI,1998,1,2,0
MI,1998,2,1,0
MI,1999,1,0,0
MI,1999,2,0,0
MI,2000,1,2,0
MI,2000,2,1,0
MI,2001,1,3,0
MI,2001,2,2,0
MI,2002,1,6,0
MI,2002,2,3,0
MI,2003,1,2,0
MI,2003,2,7,0
MI,2004,1,5,0
MI,2004,2,8,0
MI,2005,1,12,0
MI,2005,2,20,0
MI,2006,1,124,0
MI,2006,2,114,0
MI,2007,1,13,0
MI,2007,2,9,0
MI,2008,1,18,0
MI,2008,2,13,0
MI,2009,1,15,0
MI,2009,2,16,0
MI,2010,1,13,0
MI,2010,2,14,0
MI,2011,1,17,0
MI,2011,2,15,0
MI,2012,1,17,0
MI,2012,2,7,0
MI,2013,1,15,0
MI,2013,2,11,0
MI,2014,1,29,0
MI,2014,2,46,0
MI,2015,1,156,0
MI,2015,2,112,0
MI,2016,1,223,0
MI,2016,2,321,75
MI,2017,1,415,92
MI,2017,2,400,6
MI,2018,1,502,1
MI,2018,2,577,2
MI,2019,1,858,0
MI,2019,2,1177,2
MI,2020,1,930,0
MI,2020,2,1125,0
MI,2021,1,570,0
MI,2021,2,465,0
MI,2022,1,487,0
MI,2022,2,507,0
MN,1998,1,0,0
MN,1998,2,0,0
MN,1999,1,0,0
MN,1999,2,0,0
MN,2000,1,0,0
MN,2000,2,0,0
MN,2001,1,0,0
MN,2001,2,0,0
MN,2002,1,0,0
MN,2002,2,0,0
MN,2003,1,0,0
MN,2003,2,0,0
MN,2004,1,0,0
MN,2004,2,0,0
MN,2005,1,1,0
MN,2005,2,0,0
MN,2006,1,16,0
MN,2006,2,5,0
MN,2007,1,2,0
MN,2007,2,2,0
MN,2008,1,2,0
MN,2008,2,2,0
MN,2009,1,4,0
MN,2009,2,0,0
MN,2010,1,3,0
MN,2010,2,3,0
MN,2011,1,3,0
MN,2011,2,1,0
MN,2012,1,6,0
MN,2012,2,5,0
MN,2013,1,7,0
MN,2013,2,1,0
MN,2014,1,0,0
MN,2014,2,6,0
MN,2015,1,7,0
MN,2015,2,13,0
MN,2016,1,46,0
MN,2016,2,72,0
MN,2017,1,149,36
MN,2017,2,190,28
MN,2018,1,274,8
MN,2018,2,293,1
MN,2019,1,435,0
MN,2019,2,538,2
MN,2020,1,631,25
MN,2020,2,666,1
MN,2021,1,1278,0
MN,2021,2,1226,0
MN,2022,1,1711,0
MN,2022,2,1040,0
MO,1998,1,0,0
MO,1998,2,0,0
MO,1999,1,0,0
MO,1999,2,1,0
MO,2000,1,1,0
MO,2000,2,1,0
MO,2001,1,2,0
MO,2001,2,0,0
MO,2002,1,3,0
MO,2002,2,1,0
MO,2003,1,4,0
MO,2003,2,3,0
MO,2004,1,3,0
MO,2004,2,7,0
MO,2005,1,11,0
MO,2005,2,6,0
MO,2006,1,87,0
MO,2006,2,121,0
MO,2007,1,20,0
MO,2007,2,16,0
MO,2008,1,11,0
MO,2008,2,13,0
MO,2009,1,23,0
MO,2009,2,15,0
MO,2010,1,32,0
MO,2010,2,20,0
MO,2011,1,22,0
MO,2011,2,21,0
MO,2012,1,18,0
MO,2012,2,28,0
MO,2013,1,22,0
MO,2013,2,15,0
MO,2014,1,55,0
MO,2014,2,29,0
MO,2015,1,103,0
MO,2015,2,220,0
MO,2016,1,250,0
MO,2016,2,470,0
MO,2017,1,1013,2
MO,2017,2,917,3
MO,2018,1,1215,1
MO,2018,2,1702,0
MO,2019,1,1800,0
MO,2019,2,2012,0
MO,2020,1,2067,0
MO,2020,2,2503,1
MO,2021,1,3160,0
MO,2021,2,3034,0
MO,2022,1,2873,0
MO,2022,2,2779,0
MS,1998,1,0,0
MS,1998,2,0,0
MS,1999,1,0,0
MS,1999,2,0,0
MS,2000,1,0,0
MS,2000,2,0,0
MS,2001,1,3,0
MS,2001,2,0,0
MS,2002,1,0,0
MS,2002,2,3,0
MS,2003,1,4,0
MS,2003,2,3,0
MS,2004,1,1,0
MS,2004,2,4,0
MS,2005,1,1,0
MS,2005,2,6,0
MS,2006,1,7,0
MS,2006,2,6,0
MS,2007,1,11,0
MS,2007,2,10,0
MS,2008,1,13,0
MS,2008,2,10,0
MS,2009,1,5,0
MS,2009,2,7,0
MS,2010,1,9,0
MS,2010,2,6,0
MS,2011,1,10,0
MS,2011,2,5,0
MS,2012,1,12,0
MS,2012,2,18,0
MS,2013,1,15,0
MS,2013,2,10,0
MS,2014,1,10,0
MS,2014,2,15,0
MS,2015,1,12,0
MS,2015,2,13,0
MS,2016,1,23,0
MS,2016,2,42,0
MS,2017,1,55,0
MS,2017,2,79,0
MS,2018,1,113,2
MS,2018,2,86,1
MS,2019,1,124,0
MS,2019,2,172,0
MS,2020,1,228,0
MS,2020,2,299,0
MS,2021,1,475,0
MS,2021,2,553,0
MS,2022,1,552,0
MS,2022,2,133,0
MT,1998,1,0,0
MT,1998,2,0,0
MT,1999,1,0,0
MT,1999,2,0,0
MT,2000,1,0,0
MT,2000,2,0,0
MT,2001,1,0,0
