ST,Year,half,fentanyl_and_related_substances_seizure_count,carfentanil_seizure_count
NM,2014,2,3,0
NM,2015,1,4,0
NM,2015,2,1,0
NM,2016,1,12,0
NM,2016,2,11,0
NM,2017,1,19,0
NM,2017,2,13,1
NM,2018,1,29,0
NM,2018,2,29,0
NM,2019,1,81,0
NM,2019,2,164,0
NM,2020,1,164,0
NM,2020,2,231,0
NM,2021,1,766,0
NM,2021,2,1161,0
NM,2022,1,1711,0
NM,2022,2,1644,0
NV,1998,1,0,0
NV,1998,2,0,0
NV,1999,1,0,0
NV,1999,2,0,0
NV,2000,1,0,0
NV,2000,2,0,0
NV,2001,1,0,0
NV,2001,2,0,0
NV,2002,1,0,0
NV,2002,2,4,0
NV,2003,1,0,0
NV,2003,2,1,0
NV,2004,1,1,0
NV,2004,2,0,0
NV,2005,1,0,0
NV,2005,2,0,0
NV,2006,1,0,0
NV,2006,2,5,0
NV,2007,1,2,0
NV,2007,2,0,0
NV,2008,1,3,0
NV,2008,2,2,0
NV,2009,1,3,0
NV,2009,2,3,0
NV,2010,1,2,0
NV,2010,2,10,0
NV,2011,1,3,0
NV,2011,2,1,0
NV,2012,1,2,0
NV,2012,2,2,0
NV,2013,1,1,0
NV,2013,2,2,0
NV,2014,1,3,0
NV,2014,2,18,0
NV,2015,1,12,0
NV,2015,2,7,0
NV,2016,1,7,0
NV,2016,2,1,0
NV,2017,1,7,0
NV,2017,2,13,0
NV,2018,1,29,1
NV,2018,2,7,0
NV,2019,1,27,0
NV,2019,2,65,0
NV,2020,1,79,0
NV,2020,2,96,0
NV,2021,1,177,0
NV,2021,2,165,0
NV,2022,1,277,0
NV,2022,2,220,0
NY,1998,1,0,0
NY,1998,2,0,0
NY,1999,1,2,0
NY,1999,2,0,0
NY,2000,1,0,0
NY,2000,2,0,0
NY,2001,1,0,0
NY,2001,2,0,0
NY,2002,1,1,0
NY,2002,2,0,0
NY,2003,1,0,0
NY,2003,2,0,0
NY,2004,1,2,0
NY,2004,2,1,0
NY,2005,1,5,0
NY,2005,2,8,0
NY,2006,1,11,0
NY,2006,2,14,0
NY,2007,1,4,0
NY,2007,2,5,0
NY,2008,1,11,0
NY,2008,2,12,0
NY,2009,1,7,0
NY,2009,2,7,0
NY,2010,1,15,0
NY,2010,2,15,0
NY,2011,1,13,0
NY,2011,2,25,0
NY,2012,1,16,0
NY,2012,2,5,0
NY,2013,1,17,0
NY,2013,2,10,0
NY,2014,1,80,0
NY,2014,2,40,0
NY,2015,1,74,0
NY,2015,2,244,0
NY,2016,1,399,0
NY,2016,2,527,0
NY,2017,1,1009,2
NY,2017,2,914,2
NY,2018,1,1168,9
NY,2018,2,1061,1
NY,2019,1,1355,11
NY,2019,2,1333,0
NY,2020,1,1700,1
NY,2020,2,2148,0
NY,2021,1,2664,0
NY,2021,2,2297,0
NY,2022,1,2947,1
NY,2022,2,2469,0
OH,1998,1,0,0
OH,1998,2,0,0
OH,1999,1,0,0
OH,1999,2,0,0
OH,2000,1,1,0
OH,2000,2,0,0
OH,2001,1,0,0
OH,2001,2,1,0
OH,2002,1,7,0
OH,2002,2,3,0
OH,2003,1,9,0
OH,2003,2,18,0
OH,2004,1,12,0
OH,2004,2,15,0
OH,2005,1,22,0
OH,2005,2,23,0
OH,2006,1,37,0
OH,2006,2,65,0
OH,2007,1,39,0
OH,2007,2,31,0
OH,2008,1,19,0
OH,2008,2,24,0
OH,2009,1,18,0
OH,2009,2,27,0
OH,2010,1,28,0
OH,2010,2,28,0
OH,2011,1,19,0
OH,2011,2,33,0
OH,2012,1,18,0
OH,2012,2,24,0
OH,2013,1,29,0
OH,2013,2,82,0
OH,2014,1,517,0
OH,2014,2,861,0
OH,2015,1,1687,0
OH,2015,2,2695,0
OH,2016,1,4654,0
OH,2016,2,7227,1019
OH,2017,1,11675,2182
OH,2017,2,10606,2367
OH,2018,1,10500,476
OH,2018,2,11720,53
OH,2019,1,12832,798
OH,2019,2,12933,1920
OH,2020,1,11462,1015
OH,2020,2,13683,69
OH,2021,1,15666,19
OH,2021,2,15016,9
OH,2022,1,14206,13
OH,2022,2,12994,5
OK,1998,1,0,0
OK,1998,2,0,0
OK,1999,1,0,0
OK,1999,2,0,0
OK,2000,1,0,0
OK,2000,2,0,0
OK,2001,1,0,0
OK,2001,2,0,0
OK,2002,1,0,0
OK,2002,2,0,0
OK,2003,1,0,0
OK,2003,2,0,0
OK,2004,1,1,0
OK,2004,2,4,0
OK,2005,1,1,0
OK,2005,2,2,0
OK,2006,1,4,0
OK,2006,2,4,0
OK,2007,1,1,0
OK,2007,2,4,0
OK,2008,1,2,0
OK,2008,2,1,0
OK,2009,1,7,0
OK,2009,2,3,0
OK,2010,1,5,0
OK,2010,2,2,0
OK,2011,1,8,0
OK,2011,2,3,0
OK,2012,1,5,0
OK,2012,2,19,0
OK,2013,1,7,0
OK,2013,2,11,0
OK,2014,1,5,0
OK,2014,2,10,0
OK,2015,1,16,0
OK,2015,2,11,0
OK,2016,1,12,0
OK,2016,2,23,0
OK,2017,1,39,0
OK,2017,2,34,2
OK,2018,1,38,0
OK,2018,2,34,0
OK,2019,1,74,0
OK,2019,2,46,0
OK,2020,1,73,0
OK,2020,2,120,0
OK,2021,1,257,0
OK,2021,2,466,0
OK,2022,1,858,0
OK,2022,2,1269,0
OR,1998,1,0,0
OR,1998,2,0,0
OR,1999,1,0,0
OR,1999,2,0,0
OR,2000,1,0,0
OR,2000,2,0,0
OR,2001,1,0,0
OR,2001,2,1,0
OR,2002,1,0,0
OR,2002,2,0,0
OR,2003,1,3,0
OR,2003,2,1,0
OR,2004,1,1,0
OR,2004,2,1,0
OR,2005,1,0,0
OR,2005,2,1,0
OR,2006,1,0,0
OR,2006,2,1,0
OR,2007,1,2,0
OR,2007,2,2,0
OR,2008,1,6,0
OR,2008,2,1,0
OR,2009,1,0,0
OR,2009,2,12,0
OR,2010,1,2,0
OR,2010,2,7,0
OR,2011,1,2,0
OR,2011,2,4,0
OR,2012,1,5,0
OR,2012,2,0,0
OR,2013,1,3,0
OR,2013,2,5,0
OR,2014,1,5,0
OR,2014,2,9,0
OR,2015,1,20,0
OR,2015,2,16,0
OR,2016,1,14,0
OR,2016,2,41,4
OR,2017,1,66,0
OR,2017,2,72,4
OR,2018,1,81,1
OR,2018,2,127,5
OR,2019,1,117,0
OR,2019,2,116,0
OR,2020,1,144,0
OR,2020,2,276,0
OR,2021,1,321,1
OR,2021,2,434,0
OR,2022,1,790,0
OR,2022,2,642,0
PA,1998,1,0,0
PA,1998,2,0,0
PA,1999,1,0,0
PA,1999,2,0,0
PA,2000,1,2,0
PA,2000,2,0,0
PA,2001,1,0,0
PA,2001,2,0,0
PA,2002,1,1,0
PA,2002,2,2,0
PA,2003,1,1,0
PA,2003,2,5,0
PA,2004,1,5,0
PA,2004,2,4,0
PA,2005,1,3,0
PA,2005,2,6,0
PA,2006,1,146,0
PA,2006,2,578,0
PA,2007,1,310,0
PA,2007,2,49,0
PA,2008,1,52,0
PA,2008,2,40,0
PA,2009,1,40,0
PA,2009,2,30,0
PA,2010,1,36,0
PA,2010,2,21,0
PA,2011,1,27,0
PA,2011,2,23,0
PA,2012,1,27,0
PA,2012,2,23,0
PA,2013,1,42,0
PA,2013,2,44,0
PA,2014,1,267,0
PA,2014,2,173,0
PA,2015,1,537,0
PA,2015,2,767,0
PA,2016,1,1283,0
PA,2016,2,2618,14
PA,2017,1,5174,53
PA,2017,2,5268,127
PA,2018,1,6224,31
PA,2018,2,6955,6
PA,2019,1,8957,10
PA,2019,2,5466,55
PA,2020,1,4383,17
PA,2020,2,6324,4
PA,2021,1,11082,1
PA,2021,2,9627,1
PA,2022,1,8861,3
PA,2022,2,7831,0
PR,1998,1,0,0
PR,1998,2,0,0
PR,1999,1,0,0
PR,1999,2,0,0
PR,2000,1,0,0
PR,2000,2,0,0
PR,2001,1,0,0
PR,2001,2,0,0
PR,2002,1,0,0
PR,2002,2,0,0
PR,2003,1,0,0
PR,2003,2,0,0
PR,2004,1,0,0
PR,2004,2,0,0
PR,2005,1,0,0
PR,2005,2,0,0
PR,2006,1,0,0
PR,2006,2,5,0
PR,2007,1,16,0
PR,2007,2,0,0
PR,2008,1,0,0
PR,2008,2,0,0
PR,2009,1,0,0
PR,2009,2,0,0
PR,2010,1,0,0
PR,2010,2,0,0
PR,2011,1,0,0
PR,2011,2,0,0
PR,2012,1,0,0
PR,2012,2,0,0
PR,2013,1,0,0
PR,2013,2,0,0
PR,2014,1,0,0
PR,2014,2,0,0
PR,2015,1,1,0
PR,2015,2,0,0
PR,2016,1,5,0
PR,2016,2,7,0
PR,2017,1,18,0
PR,2017,2,21,0
PR,2018,1,58,0
PR,2018,2,34,0
PR,2019,1,45,0
PR,2019,2,53,0
PR,2020,1,19,0
PR,2020,2,21,0
PR,2021,1,34,0
PR,2021,2,37,0
PR,2022,1,28,0
PR,2022,2,42,0
RI,1998,1,0,0
RI,1998,2,0,0
RI,1999,1,0,0
RI,1999,2,0,0
RI,2000,1,0,0
RI,2000,2,0,0
RI,2001,1,0,0
RI,2001,2,0,0
RI,2002,1,0,0
RI,2002,2,0,0
RI,2003,1,0,0
RI,2003,2,0,0
RI,2004,1,0,0
RI,2004,2,0,0
RI,2005,1,0,0
RI,2005,2,0,0
RI,2006,1,0,0
RI,2006,2,9,0
RI,2007,1,0,0
RI,2007,2,0,0
RI,2008,1,0,0
RI,2008,2,0,0
RI,2009,1,0,0
RI,2009,2,0,0
RI,2010,1,0,0
RI,2010,2,0,0
RI,2011,1,0,0
RI,2011,2,0,0
RI,2012,1,0,0
RI,2012,2,0,0
RI,2013,1,0,0
RI,2013,2,0,0
RI,2014,1,14,0
RI,2014,2,29,0
RI,2015,1,94,0
RI,2015,2,91,0
RI,2016,1,173,0
RI,2016,2,319,0
RI,2017,1,300,1
RI,2017,2,399,3
RI,2018,1,456,2
RI,2018,2,423,5
RI,2019,1,446,13
RI,2019,2,439,23
RI,2020,1,285,12
RI,2020,2,368,3
RI,2021,1,713,5
RI,2021,2,529,4
RI,2022,1,669,1
RI,2022,2,527,0
SC,1998,1,0,0
SC,1998,2,0,0
SC,1999,1,0,0
SC,1999,2,0,0
SC,2000,1,0,0
SC,2000,2,0,0
SC,2001,1,0,0
SC,2001,2,0,0
SC,2002,1,1,0
SC,2002,2,1,0
SC,2003,1,0,0
SC,2003,2,0,0
SC,2004,1,0,0
SC,2004,2,1,0
SC,2005,1,0,0
SC,2005,2,0,0
SC,2006,1,0,0
SC,2006,2,0,0
SC,2007,1,4,0
SC,2007,2,2,0
SC,2008,1,2,0
SC,2008,2,0,0
SC,2009,1,5,0
SC,2009,2,2,0
SC,2010,1,0,0
SC,2010,2,0,0
SC,2011,1,0,0
SC,2011,2,0,0
SC,2012,1,0,0
SC,2012,2,2,0
SC,2013,1,10,0
SC,2013,2,3,0
SC,2014,1,3,0
SC,2014,2,26,0
SC,2015,1,74,0
SC,2015,2,89,0
SC,2016,1,122,0
SC,2016,2,150,2
SC,2017,1,323,10
SC,2017,2,606,11
SC,2018,1,834,1
SC,2018,2,861,0
SC,2019,1,952,0
SC,2019,2,989,2
SC,2020,1,625,1
SC,2020,2,1394,2
SC,2021,1,1457,1
SC,2021,2,1522,1
SC,2022,1,942,0
SC,2022,2,1053,0
SD,1998,1,0,0
SD,1998,2,0,0
SD,1999,1,0,0
SD,1999,2,0,0
SD,2000,1,0,0
SD,2000,2,0,0
SD,2001,1,0,0
SD,2001,2,0,0
SD,2002,1,0,0
SD,2002,2,0,0
SD,2003,1,0,0
SD,2003,2,0,0
SD,2004,1,0,0
SD,2004,2,0,0
SD,2005,1,1,0
SD,2005,2,0,0
SD,2006,1,0,0
SD,2006,2,0,0
SD,2007,1,0,0
SD,2007,2,0,0
SD,2008,1,0,0
SD,2008,2,0,0
SD,2009,1,0,0
SD,2009,2,0,0
SD,2010,1,2,0
SD,2010,2,0,0
SD,2011,1,0,0
SD,2011,2,0,0
SD,2012,1,1,0
SD,2012,2,0,0
SD,2013,1,0,0
SD,2013,2,1,0
SD,2014,1,1,0
SD,2014,2,1,0
SD,2015,1,0,0
SD,2015,2,0,0
SD,2016,1,1,0
SD,2016,2,0,0
SD,2017,1,4,1
SD,2017,2,6,0
SD,2018,1,4,1
SD,2018,2,1,0
SD,2019,1,3,0
SD,2019,2,4,0
SD,2020,1,3,0
SD,2020,2,3,0
SD,2021,1,10,0
SD,2021,2,21,0
SD,2022,1,63,0
SD,2022,2,91,0
TN,1998,1,0,0
TN,1998,2,0,0
TN,1999,1,0,0
TN,1999,2,0,0
TN,2000,1,0,0
TN,2000,2,0,0
TN,2001,1,0,0
TN,2001,2,0,0
TN,2002,1,0,0
TN,2002,2,0,0
TN,2003,1,0,0
TN,2003,2,0,0
TN,2004,1,0,0
TN,2004,2,1,0
TN,2005,1,2,0
TN,2005,2,14,0
TN,2006,1,9,0
TN,2006,2,3,0
TN,2007,1,8,0
TN,2007,2,18,0
TN,2008,1,6,0
TN,2008,2,4,0
TN,2009,1,7,0
TN,2009,2,10,0
TN,2010,1,6,0
TN,2010,2,2,0
TN,2011,1,15,0
TN,2011,2,13,0
TN,2012,1,10,0
TN,2012,2,8,0
TN,2013,1,6,0
TN,2013,2,8,0
TN,2014,1,16,0
TN,2014,2,24,0
TN,2015,1,60,0
TN,2015,2,83,0
TN,2016,1,173,0
TN,2016,2,235,7
TN,2017,1,354,17
TN,2017,2,454,7
TN,2018,1,669,5
TN,2018,2,720,0
TN,2019,1,1093,5
TN,2019,2,1394,28
TN,2020,1,2104,11
TN,2020,2,2762,6
TN,2021,1,4333,3
TN,2021,2,3965,1
TN,2022,1,4380,0
TN,2022,2,3437,1
TX,1998,1,0,0
TX,1998,2,0,0
TX,1999,1,0,0
TX,1999,2,3,0
TX,2000,1,1,0
TX,2000,2,0,0
TX,2001,1,2,0
TX,2001,2,6,0
TX,2002,1,4,0
TX,2002,2,2,0
TX,2003,1,1,0
TX,2003,2,2,0
TX,2004,1,6,0
TX,2004,2,8,0
TX,2005,1,3,0
TX,2005,2,5,0
TX,2006,1,12,0
TX,2006,2,11,0
TX,2007,1,14,0
TX,2007,2,3,0
TX,2008,1,10,0
TX,2008,2,53,0
TX,2009,1,8,0
TX,2009,2,7,0
TX,2010,1,5,0
TX,2010,2,7,0
TX,2011,1,16,0
TX,2011,2,11,0
TX,2012,1,17,0
TX,2012,2,4,0
TX,2013,1,5,0
TX,2013,2,11,0
TX,2014,1,18,0
TX,2014,2,16,0
TX,2015,1,35,0
TX,2015,2,34,0
TX,2016,1,85,1
TX,2016,2,164,0
TX,2017,1,202,3
TX,2017,2,187,8
TX,2018,1,192,2
TX,2018,2,194,12
TX,2019,1,192,2
TX,2019,2,330,38
TX,2020,1,422,16
TX,2020,2,670,16
TX,2021,1,1217,8
TX,2021,2,1366,24
TX,2022,1,1875,12
TX,2022,2,1954,3
UT,1998,1,0,0
UT,1998,2,0,0
UT,1999,1,0,0
UT,1999,2,0,0
UT,2000,1,0,0
UT,2000,2,0,0
UT,2001,1,0,0
UT,2001,2,0,0
UT,2002,1,0,0
UT,2002,2,0,0
UT,2003,1,0,0
UT,2003,2,15,0
UT,2004,1,2,0
UT,2004,2,2,0
UT,2005,1,4,0
UT,2005,2,0,0
UT,2006,1,2,0
UT,2006,2,1,0
UT,2007,1,2,0
UT,2007,2,4,0
UT,2008,1,0,0
UT,2008,2,0,0
UT,2009,1,8,0
UT,2009,2,12,0
UT,2010,1,20,0
UT,2010,2,0,0
UT,2011,1,3,0
UT,2011,2,9,0
UT,2012,1,0,0
UT,2012,2,9,0
UT,2013,1,17,0
UT,2013,2,2,0
UT,2014,1,12,0
UT,2014,2,2,0
UT,2015,1,15,0
UT,2015,2,5,0
UT,2016,1,7,0
UT,2016,2,43,0
UT,2017,1,14,0
UT,2017,2,10,0
UT,2018,1,16,1
UT,2018,2,32,2
UT,2019,1,28,1
UT,2019,2,44,0
UT,2020,1,22,0
UT,2020,2,32,0
UT,2021,1,90,0
UT,2021,2,97,0
UT,2022,1,165,0
UT,2022,2,233,0
VA,1998,1,0,0
VA,1998,2,0,0
VA,1999,1,0,0
VA,1999,2,0,0
VA,2000,1,6,0
VA,2000,2,5,0
VA,2001,1,3,0
VA,2001,2,3,0
VA,2002,1,2,0
VA,2002,2,8,0
VA,2003,1,19,0
VA,2003,2,8,0
VA,2004,1,24,0
VA,2004,2,21,0
VA,2005,1,9,0
VA,2005,2,16,0
VA,2006,1,20,0
VA,2006,2,20,0
VA,2007,1,12,0
VA,2007,2,12,0
VA,2008,1,26,0
VA,2008,2,26,0
VA,2009,1,13,0
VA,2009,2,16,0
VA,2010,1,21,0
VA,2010,2,21,0
VA,2011,1,35,0
VA,2011,2,16,0
VA,2012,1,20,0
VA,2012,2,23,0
VA,2013,1,33,0
VA,2013,2,105,0
VA,2014,1,145,0
VA,2014,2,88,0
VA,2015,1,281,0
VA,2015,2,342,0
VA,2016,1,788,0
VA,2016,2,1008,2
VA,2017,1,1665,27
VA,2017,2,1596,46
VA,2018,1,1698,8
VA,2018,2,1601,1
VA,2019,1,1881,4
VA,2019,2,2023,4
VA,2020,1,2720,6
VA,2020,2,3260,3
VA,2021,1,3857,0
VA,2021,2,3684,1
VA,2022,1,4243,1
VA,2022,2,4294,0
VI,1998,1,0,0
VI,1998,2,0,0
VI,1999,1,0,0
VI,1999,2,0,0
VI,2000,1,0,0
VI,2000,2,0,0
VI,2001,1,0,0
VI,2001,2,0,0
VI,2002,1,0,0
VI,2002,2,0,0
VI,2003,1,0,0
VI,2003,2,0,0
VI,2004,1,0,0
VI,2004,2,0,0
VI,2005,1,0,0
VI,2005,2,0,0
VI,2006,1,0,0
VI,2006,2,0,0
VI,2007,1,0,0
VI,2007,2,0,0
VI,2008,1,0,0
VI,2008,2,0,0
VI,2009,1,0,0
VI,2009,2,0,0
VI,2010,1,0,0
VI,2010,2,0,0
VI,2011,1,0,0
VI,2011,2,0,0
VI,2012,1,0,0
VI,2012,2,0,0
VI,2013,1,0,0
VI,2013,2,0,0
VI,2014,1,0,0
VI,2014,2,0,0
VI,2015,1,0,0
VI,2015,2,0,0
VI,2016,1,0,0
VI,2016,2,0,0
VI,2017,1,0,0
VI,2017,2,0,0
VI,2018,1,0,0
VI,2018,2,0,0
VI,2019,1,5,0
VI,2019,2,0,0
VI,2020,1,1,0
VI,2020,2,0,0
VI,2021,1,1,0
VI,2021,2,3,0
VI,2022,1,0,0
VI,2022,2,2,0
VT,1998,1,0,0
VT,1998,2,0,0
VT,1999,1,0,0
VT,1999,2,0,0
VT,2000,1,0,0
VT,2000,2,0,0
VT,2001,1,0,0
VT,2001,2,0,0
VT,2002,1,0,0
VT,2002,2,0,0
VT,2003,1,0,0
VT,2003,2,0,0
VT,2004,1,0,0
VT,2004,2,0,0
VT,2005,1,0,0
VT,2005,2,0,0
VT,2006,1,0,0
VT,2006,2,0,0
VT,2007,1,0,0
VT,2007,2,0,0
VT,2008,1,0,0
VT,2008,2,0,0
VT,2009,1,1,0
VT,2009,2,0,0
VT,2010,1,0,0
VT,2010,2,0,0
VT,2011,1,0,0
VT,2011,2,1,0
VT,2012,1,0,0
VT,2012,2,0,0
VT,2013,1,0,0
VT,2013,2,1,0
VT,2014,1,4,0
VT,2014,2,12,0
VT,2015,1,44,0
VT,2015,2,41,0
VT,2016,1,77,0
VT,2016,2,134,0
VT,2017,1,152,0
VT,2017,2,313,0
VT,2018,1,495,0
VT,2018,2,526,0
VT,2019,1,476,0
VT,2019,2,679,0
VT,2020,1,509,0
VT,2020,2,915,0
VT,2021,1,837,0
VT,2021,2,1134,0
VT,2022,1,654,0
VT,2022,2,301,0
WA,1998,1,0,0
WA,1998,2,0,0
WA,1999,1,0,0
WA,1999,2,0,0
WA,2000,1,0,0
WA,2000,2,0,0
WA,2001,1,0,0
WA,2001,2,0,0
WA,2002,1,0,0
WA,2002,2,2,0
WA,2003,1,1,0
WA,2003,2,1,0
WA,2004,1,1,0
WA,2004,2,1,0
WA,2005,1,0,0
WA,2005,2,0,0
WA,2006,1,1,0
WA,2006,2,2,0
WA,2007,1,1,0
WA,2007,2,3,0
WA,2008,1,1,0
WA,2008,2,4,0
WA,2009,1,4,0
WA,2009,2,1,0
WA,2010,1,10,0
WA,2010,2,8,0
WA,2011,1,4,0
WA,2011,2,12,0
WA,2012,1,46,0
WA,2012,2,7,0
WA,2013,1,6,0
WA,2013,2,7,1
WA,2014,1,8,2
WA,2014,2,12,3
WA,2015,1,10,0
WA,2015,2,9,0
WA,2016,1,56,0
WA,2016,2,26,0
WA,2017,1,55,1
WA,2017,2,96,0
WA,2018,1,162,0
WA,2018,2,213,2
WA,2019,1,274,3
WA,2019,2,388,1
WA,2020,1,581,1
WA,2020,2,718,0
WA,2021,1,792,0
WA,2021,2,832,0
WA,2022,1,1332,0
WA,2022,2,1641,0
WI,1998,1,0,0
WI,1998,2,0,0
WI,1999,1,0,0
WI,1999,2,0,0
WI,2000,1,0,0
WI,2000,2,0,0
WI,2001,1,0,0
WI,2001,2,0,0
WI,2002,1,0,0
WI,2002,2,0,0
WI,2003,1,0,0
WI,2003,2,1,0
WI,2004,1,3,0
WI,2004,2,4,0
WI,2005,1,1,0
WI,2005,2,5,0
WI,2006,1,8,0
WI,2006,2,25,0
WI,2007,1,7,0
WI,2007,2,8,0
WI,2008,1,6,0
WI,2008,2,5,0
WI,2009,1,10,0
WI,2009,2,3,0
WI,2010,1,11,0
WI,2010,2,11,0
WI,2011,1,12,0
WI,2011,2,5,0
WI,2012,1,6,0
WI,2012,2,4,0
WI,2013,1,5,0
WI,2013,2,25,0
WI,2014,1,9,0
WI,2014,2,33,0
WI,2015,1,33,0
WI,2015,2,55,0
WI,2016,1,162,0
WI,2016,2,220,2
WI,2017,1,328,15
WI,2017,2,353,4
WI,2018,1,403,1
WI,2018,2,348,6
WI,2019,1,307,0
WI,2019,2,354,0
WI,2020,1,485,0
WI,2020,2,470,0
WI,2021,1,665,0
WI,2021,2,557,0
WI,2022,1,660,2
WI,2022,2,601,0
WV,1998,1,0,0
WV,1998,2,0,0
WV,1999,1,0,0
WV,1999,2,0,0
WV,2000,1,2,0
WV,2000,2,0,0
WV,2001,1,1,0
WV,2001,2,0,0
WV,2002,1,1,0
WV,2002,2,0,0
WV,2003,1,1,0
WV,2003,2,1,0
WV,2004,1,3,0
WV,2004,2,1,0
WV,2005,1,9,0
WV,2005,2,5,0
WV,2006,1,3,0
WV,2006,2,68,0
WV,2007,1,8,0
WV,2007,2,32,0
WV,2008,1,2,0
WV,2008,2,0,0
WV,2009,1,6,0
WV,2009,2,3,0
WV,2010,1,3,0
WV,2010,2,5,0
WV,2011,1,8,0
WV,2011,2,4,0
WV,2012,1,5,0
WV,2012,2,2,0
WV,2013,1,2,0
WV,2013,2,2,0
WV,2014,1,27,0
WV,2014,2,23,0
WV,2015,1,99,0
WV,2015,2,56,0
WV,2016,1,84,0
WV,2016,2,148,1
WV,2017,1,308,9
WV,2017,2,312,10
WV,2018,1,443,13
WV,2018,2,497,1
WV,2019,1,723,16
WV,2019,2,747,28
WV,2020,1,739,26
WV,2020,2,1058,0
WV,2021,1,1830,0
WV,2021,2,1617,0
WV,2022,1,1627,0
WV,2022,2,1566,0
WY,1998,1,0,0
WY,1998,2,0,0
WY,1999,1,0,0
WY,1999,2,0,0
WY,2000,1,0,0
WY,2000,2,0,0
WY,2001,1,0,0
WY,2001,2,0,0
WY,2002,1,0,0
WY,2002,2,0,0
WY,2003,1,0,0
WY,2003,2,0,0
WY,2004,1,0,0
WY,2004,2,0,0
WY,2005,1,1,0
WY,2005,2,0,0
WY,2006,1,0,0
WY,2006,2,0,0
WY,2007,1,0,0
WY,2007,2,0,0
WY,2008,1,2,0
WY,2008,2,0,0
WY,2009,1,0,0
WY,2009,2,0,0
WY,2010,1,1,0
WY,2010,2,2,0
WY,2011,1,3,0
WY,2011,2,1,0
WY,2012,1,0,0
WY,2012,2,1,0
WY,2013,1,1,0
WY,2013,2,6,0
WY,2014,1,2,0
WY,2014,2,3,0
WY,2015,1,0,0
WY,2015,2,1,0
WY,2016,1,4,0
WY,2016,2,6,0
WY,2017,1,8,0
WY,2017,2,0,0
WY,2018,1,3,0
WY,2018,2,26,0
WY,2019,1,19,0
WY,2019,2,8,0
WY,2020,1,17,0
WY,2020,2,26,0
WY,2021,1,136,0
WY,2021,2,80,0
WY,2022,1,190,0
WY,2022,2,261,0
XX,1998,1,0,0
XX,1998,2,0,0
XX,1999,1,0,0
XX,1999,2,0,0
XX,2000,1,0,0
XX,2000,2,0,0
XX,2001,1,0,0
XX,2001,2,0,0
XX,2002,1,0,0
XX,2002,2,0,0
XX,2003,1,0,0
XX,2003,2,0,0
XX,2004,1,0,0
XX,2004,2,0,0
XX,2005,1,0,0
XX,2005,2,0,0
XX,2006,1,0,0
XX,2006,2,0,0
XX,2007,1,0,0
XX,2007,2,0,0
XX,2008,1,0,0
XX,2008,2,0,0
XX,2009,1,0,0
XX,2009,2,0,0
XX,2010,1,0,0
XX,2010,2,0,0
XX,2011,1,0,0
XX,2011,2,0,0
XX,2012,1,0,0
XX,2012,2,0,0
XX,2013,1,0,0
XX,2013,2,0,0
XX,2014,1,0,0
XX,2014,2,0,0
XX,2015,1,0,0
XX,2015,2,0,0
XX,2016,1,0,0
XX,2016,2,0,0
XX,2017,1,1,0
XX,2017,2,0,0
XX,2018,1,0,0
XX,2018,2,0,0
XX,2019,1,0,0
XX,2019,2,1,0
XX,2020,1,0,0
XX,2020,2,0,0
XX,2021,1,0,0
XX,2021,2,0,0
XX,2022,1,0,0
XX,2022,2,0,0
